2	2	poukazují	
7	2	potvrdily	
5	2	potvrdilo	
6	2	pokračoval	
6	2	oznámilo	
21	2	odmítl	
7	2	odmítají	
16	2	očekává	
3	2	ocenila	
2	2	naráží	
19	2	mluví	
2	2	konstatovala	
4	2	komentuje	
2	2	hodnotil	
8	2	hlásí	
7	2	doporučil	
7	2	domnívá	se
5	2	citovala	
1	1	žasne	
5	1	žádal	
4	1	žádá	
3	1	zkoumali	
3	1	zjistilo	
4	1	zjistila	
2	1	zeptala	se
3	1	zdůvodňuje	
2	1	zdůvodnila	
2	1	zdůvodnil	
1	1	zdůrazňují	
3	1	zaznělo	
8	1	zaznamenali	
4	1	zaznamenala	
1	1	zavzpomínal	
1	1	zareagovali	
1	1	vzpomněla	
1	1	vzkázali	
1	1	vzkázala	
4	1	vyzývají	
10	1	vyzval	
2	1	vysvětlovala	
4	1	vyslovil	
2	1	vyprávěla	
2	1	vyprávěl	
3	1	vymysleli	
2	1	vyloučila	
2	1	vyjádřili	
9	1	vydala	
1	1	vyčinil	
1	1	vtipkoval	
15	1	vidí	
5	1	uvažuje	
1	1	uváděla	
3	1	usmívá	se
1	1	upřesnila	
7	1	ukazují	
3	1	ukázaly	
6	1	ukázali	
1	1	ujistil	
1	1	tuší	
1	1	svěřuje	se
3	1	spekulují	
2	1	spatřuje	
7	1	souhlasí	
4	1	směje	se
1	1	smála	se
4	1	schválil	
2	1	shrnul	
3	1	shodují	se
1	1	sděluje	
2	1	sdělilo	
3	1	sdělili	
4	1	říkala	
7	1	říkají	
10	1	řekli	
20	1	rozhodla	
31	1	rozhodl	
1	1	raduje	se
3	1	radoval	se
1	1	přiznával	
1	1	přiznávají	
4	1	přiznala	
2	1	přitakává	
1	1	přirovnal	
1	1	připustilo	
9	1	připustil	
6	1	přinesla	
4	1	přináší	
4	1	přiblížil	
1	1	přestavila	
1	1	přemýšlí	
1	1	přemítá	
8	1	představila	
4	1	představil	
2	1	předpokládají	
1	1	prozradila	
2	1	prohlašuje	
1	1	prohlásili	
3	1	požaduje	
13	1	požádal	
3	1	povoluje	
2	1	povídal	
6	1	považují	
5	1	potvrzují	
1	1	posvětilo	
1	1	posteskl	si
2	1	popsali	
1	1	popisují	
5	1	popírá	
1	1	pokusila	
4	1	pochválil	
1	1	pohrozil	
2	1	podporují	
1	1	podezírají	
13	1	počítá	
13	1	plánuje	
5	1	píšou	
3	1	píší	
3	1	oznámily	
2	1	označili	
1	1	oponuje	
1	1	opáčil	
1	1	omlouval	se
2	1	okomentoval	
1	1	ohlásila	
3	1	ohlásil	
1	1	ohlásí	
1	1	odsoudily	
1	1	odpovědělo	
3	1	odpověděla	
5	1	odpověděl	
10	1	odmítla	
4	1	odkazuje	
1	1	odkázal	
1	1	odhalují	
2	1	odhadovali	
3	1	očekávali	
2	1	očekávají	
1	1	obviňovali	
5	1	obvinil	
1	1	objasnili	
1	1	objasnila	
5	1	obává	se
1	1	nevyloučila	
2	1	nevyloučil	
1	1	neupřesnila	
3	1	neupřesnil	
2	1	naznačují	
8	1	naznačuje	
8	1	navrhuje	
1	1	navrhovali	
3	1	navrhovala	
10	1	navrhl	
1	1	namítl	
1	1	naléhal	
22	1	nabízí	
26	1	myslí	
3	1	mluvila	
341	1	má	
1	1	líčil	
4	1	láká	
2	1	kritizují	
5	1	kritizuje	
1	1	konstatovalo	
3	1	konstatovali	
2	1	komentovala	
10	1	jmenuje	
4	1	informovaly	
92	1	chce	
1	1	charakterizoval	
2	1	hovořila	
2	1	hodnotila	
1	1	hlásala	
1	1	glosuje	
3	1	došla	
3	1	doporučuje	
2	1	doporučoval	
2	1	doplnili	
1	1	dokládají	
4	1	dokládá	
1	1	dodaly	
4	1	dodalo	
11	1	dle	
1	1	definuje	
13	1	dává	
2	1	cituje	
2	1	burcuje	
8	1	brání	se
1	1	avizovali	
1	1	avizoval	
1	1	argumentovali	
1	1	apelují	
1	1	analyzuje	
